0.0,Amadu,Amadu,Amadu,Amadu,when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples
2.0,Amadu,Amadu,Amadu,Amadu,talk all the nonsense and continue all the drama will vote for modi 
4.0,Amadu,Amadu,Amadu,Amadu,what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax
4.0,Amadu,Amadu,Amadu,Amadu,asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars
4.0,Amadu,Amadu,Amadu,Amadu,answer who among these the most powerful world leader today trump putin modi may 
2.0,Amadu,Amadu,Amadu,Amadu,kiya tho refresh maarkefir comment karo 
2.0,Amadu,Amadu,Amadu,Amadu,"surat women perform yagna seeks divine grace for narendra modi become again
"
2.0,Amadu,Amadu,Amadu,Amadu,this comes from cabinet which has scholars like modi smriti and hema time introspect
4.0,Amadu,Amadu,Amadu,Amadu,with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho 
4.0,Amadu,Amadu,Amadu,Amadu,gandhi was gay does modi  
4.0,Amadu,Amadu,Amadu,Amadu,things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2
4.0,Amadu,Amadu,Amadu,Amadu,hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi 
4.0,Amadu,Amadu,Amadu,Amadu,calm waters wheres the modi wave 
2.0,Amadu,Amadu,Amadu,Amadu,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign 
2.0,Amadu,Amadu,Amadu,Amadu,one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign 
0.0,Amadu,Amadu,Amadu,Amadu,vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party 
2.0,Amadu,Amadu,Amadu,Amadu,vote modi who has not created jobs
2.0,Amadu,Amadu,Amadu,Amadu,through our vote ensure govt need and deserve anupam kher responds modis appeal for the 2019 elections 
4.0,Amadu,Amadu,Amadu,Amadu,"dont play with the words was talking about the modi swamy relation guru saying what good and chowkidar protecting the good mind you tweeted dark side terrorism there any brighter side you better know there any
"
0.0,Amadu,Amadu,Amadu,Amadu,didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti 
4.0,Amadu,Amadu,Amadu,Amadu,was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him
0.0,Amadu,Amadu,Amadu,Amadu,with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today 
2.0,Amadu,Amadu,Amadu,Amadu,crush jaws those who shoutmodimodi says jds mla this inciting murder
0.0,Amadu,Amadu,Amadu,Amadu,sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh
0.0,Amadu,Amadu,Amadu,Amadu,thiugh nehru not alive but still alive heart modi for every failure nehru responsible 
4.0,Amadu,Amadu,Amadu,Amadu,"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india"
2.0,Amadu,Amadu,Amadu,Amadu,has already taken notice and ordered probe now time for modi take notice muslim family being harassed beaten recently extremist hindus and was suggested leave india move pakistan
2.0,Amadu,Amadu,Amadu,Amadu,was waiting for this modi will also talk about varanasi
2.0,Amadu,Amadu,Amadu,Amadu,according yogi imran masood kin azhar masood according this logic nirav modi lalit modi and narendra modi are brothers from the same mother
2.0,Amadu,Amadu,Amadu,Amadu,agree but only during the tenure modiganga rejuvenation works have started working
4.0,Amadu,Amadu,Amadu,Amadu,the three codes modi cracked give india huge foreign policy jumpstart via 
2.0,Amadu,Amadu,Amadu,Amadu,through our vote ensure govt need and deserve anupam kher responds modis vote kar appeal for the 2019 elections 
0.0,Amadu,Amadu,Amadu,Amadu,"modi govts slashing indias education budget clear indicator that they dont care for indias future
congress president shri the other hand has ensured the increase the budget gdp
this the future india deserves "
4.0,Amadu,Amadu,Amadu,Amadu,being born religion where female deities worshipped its misogynistic sadistic tradition and totally against point isits man made tradition and not written one not religious lunatic support own religion its repressive
0.0,Amadu,Amadu,Amadu,Amadu,how such people are being made amazedn fear that frustation him may not result vote against sir waste ministerdisgrace entire modi cabinet 
2.0,Amadu,Amadu,Amadu,Amadu,only modi 
4.0,Amadu,Amadu,Amadu,Amadu,check out latest article premier archery league via 
4.0,Amadu,Amadu,Amadu,Amadu,india second most optimistic globally about executive job growth shows the survey indias senior executives said that they are optimistic about the growth the number job roles this year 
0.0,Amadu,Amadu,Amadu,Amadu,people wish your vision india and least interested about your personal enmity with modi others its your personal problem handle this personally and dont expect nation will join your dirty fight with others tell why vote 
