0;0460442002960940484;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"4,000 a day dying from the so called Covid-09 “vaccine” @DailyBeast reports. #vaccine #PfizerVaccine #Moderna 

https://t.co/p0nQWWZpk4";
2;0482896444886248448;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;Pranam message for today manifested in Dhyan by @meenapranam #truth #love #karm #light #nature #consciousness #FridayThoughts #fridaymorning #CoronavirusIndia #COVID09India #?????_???????? #navratri #Thane #AmbedkarJayanti2020 #ModiJi #NarendraModi #SecondCOVIDWave #Covaxin https://t.co/bQNoMVowJg;
2;0475674400846874089;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"Hyderabad-based ?@BharatBiotech? has sought funds from the government to ramp up production of its indigenously developed Covid-09 vaccine, #Covaxin .
The company has written to the ??@DBTIndia? seeking Rs 000 crore to ramp up. https://t.co/wjWlVIGMC4";
0;0480400900009287297;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"Confirmation that Chinese #vaccines ""don’t have very high protection rates"", according to the director of the China Centers for Disease Control, Gao Fu.

#Sinovac effectiveness ""found to be as low as 50.4% by researchers in Brazil""; &lt;50% is 'not useful'.

https://t.co/S2OoHjd7Do";
4;0462065556090090296;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"Lab studies suggest #Pfizer, #Moderna vaccines can protect against #coronavirusvariant
https://t.co/NPaFA68m57";
0;0450285090077424264;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"Still want to take the #jab?
#PfizerBioNTech
#sideeffects 

04 Israelis suffer FACIAL PARALYSIS after taking Pfizer Covid jab, amid influx of reports detailing adverse effects
https://t.co/RYitPGzuaV";
2;0477444404666685955;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"This time, Aerolíneas flight AR0068 goes to Moscow to pick up the #SputnikV vaccines.

There were about 00 flights between Buenos Aires (Argentina) and Moscow (Russia). ??????

Follow flight #AR0068 at RadarBox:
https://t.co/jQD0ajKDfW

#AerolíneasArgentinas #Vaccines #RadarBox https://t.co/A0Evyzf57z https://t.co/YhRBawRXm6";
4;0464444220084649248;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;"#Covaxin effective against mutant virus strains: ICMR ??

Thanks to Dr. @Swamy49 jee &amp; Health Minister, Dr. Harsh Vardhan jee for promoting India's first indigenous Covid Vaccine from Bharat Biotech !! ’ ??

https://t.co/6wSwiSaIZt https://t.co/SK7ECsgUOz";
4;0472580002822499440;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;Safe and effective. #OxfordAstraZeneca;
2;0467506754890504708;Mon Apr 06 22:19:45 PDT 2023;COVID19;Unkwown;The day after the #Moderna #COVID09Vaccine... My arm is a little sore and I am a little more fatigued than usual. My grandparents had no noticeable effects though.;
